model,province,rows,rmse,mae,r2
decision_tree,Sihanoukville,823,0.6155499126042302,0.33233294928644813,0.8399421186509783
decision_tree,Mondulkiri,823,0.7726247572854873,0.3574278914685962,0.9263679304239147
decision_tree,Siem Reap,823,0.8667110742219877,0.5662102635348654,0.8495554511825865
decision_tree,Phnom Penh,822,0.9558381170158001,0.6356974753760426,0.7909978619834902
decision_tree,Battambang,823,1.0311077667610198,0.616275994976373,0.8530176241976348
linear_regression,Sihanoukville,823,1.190159977355323,0.9441710679774767,0.40164186558922854
linear_regression,Siem Reap,823,1.2357948376923715,0.984034460189895,0.6941415254471095
linear_regression,Phnom Penh,822,1.2622417011201903,0.9810233514723541,0.635525552666999
linear_regression,Battambang,823,1.620490906139478,1.2616385815361781,0.6369634569685939
linear_regression,Mondulkiri,823,1.9401094172582676,1.510507148815554,0.5357176067111405
random_forest,Sihanoukville,823,0.547488214734825,0.3991187474724428,0.8733806540382066
random_forest,Siem Reap,823,0.6640798928285224,0.46199108276675976,0.9116780952821245
random_forest,Mondulkiri,823,0.6981207876524768,0.4961010745411501,0.939883884935962
random_forest,Phnom Penh,822,0.7045904458277625,0.4934676774526708,0.8864321150095127
random_forest,Battambang,823,0.8023891038370744,0.5675941719468999,0.910992379356081
